call_id,caller_id,callee_id,timestamp,duration_sec
C00001,P001,P002,2026-06-27T23:15:48,534
C00002,P001,P002,2026-06-20T07:14:31,171
C00003,P001,P002,2026-06-12T05:52:54,567
C00004,P001,P002,2026-07-01T19:18:34,15
C00005,P001,P002,2026-06-20T11:48:07,515
C00006,P001,P018,2026-06-04T13:12:56,866
C00007,P001,P034,2026-06-08T02:06:32,261
C00008,P001,P034,2026-06-29T20:39:24,95
C00009,P001,P034,2026-06-03T17:41:39,850
C00010,P001,P034,2026-06-03T19:23:42,799
C00011,P001,P034,2026-06-05T04:40:28,690
C00012,P001,P013,2026-07-01T20:01:03,184
C00013,P001,P013,2026-06-09T19:12:43,636
C00014,P001,P013,2026-06-14T07:42:40,567
C00015,P001,P013,2026-06-25T07:19:25,745
C00016,P001,P013,2026-06-10T14:31:36,702
C00017,P001,P013,2026-06-21T13:35:44,463
C00018,P001,P013,2026-06-29T18:50:39,477
C00019,P001,P013,2026-06-04T09:01:33,245
C00020,P001,P008,2026-06-11T00:45:57,617
C00021,P001,P008,2026-06-18T08:22:41,617
C00022,P002,P001,2026-06-03T01:08:37,895
C00023,P002,P001,2026-06-11T02:34:47,541
C00024,P002,P001,2026-06-08T10:08:20,700
C00025,P002,P001,2026-06-16T07:48:00,567
C00026,P002,P006,2026-06-24T20:47:27,605
C00027,P002,P006,2026-06-16T08:50:50,818
C00028,P002,P006,2026-06-16T14:49:14,209
C00029,P002,P005,2026-06-04T23:59:34,456
C00030,P002,P005,2026-06-12T15:25:19,435
C00031,P003,P005,2026-06-07T19:31:32,474
C00032,P003,P005,2026-06-05T15:21:36,202
C00033,P003,P005,2026-06-09T16:50:37,270
C00034,P003,P005,2026-06-28T02:44:40,468
C00035,P003,P008,2026-06-02T23:44:37,568
C00036,P003,P008,2026-06-27T00:32:14,110
C00037,P003,P027,2026-06-06T14:47:49,512
C00038,P003,P027,2026-06-16T07:46:56,900
C00039,P003,P027,2026-06-13T02:08:05,183
C00040,P003,P027,2026-06-13T00:04:42,414
C00041,P003,P023,2026-06-30T16:33:58,307
C00042,P003,P023,2026-06-14T20:14:05,692
C00043,P003,P023,2026-06-23T17:43:08,173
C00044,P003,P023,2026-06-07T10:48:10,237
C00045,P003,P023,2026-07-01T02:07:45,608
C00046,P003,P017,2026-06-24T11:25:04,73
C00047,P004,P039,2026-06-02T18:29:22,97
C00048,P004,P039,2026-06-28T06:45:56,85
C00049,P004,P039,2026-06-20T02:28:27,706
C00050,P004,P032,2026-06-13T04:21:53,598
C00051,P004,P032,2026-06-08T21:04:40,623
C00052,P004,P032,2026-06-02T22:33:03,98
C00053,P004,P032,2026-06-14T23:56:03,612
C00054,P005,P035,2026-06-13T04:45:54,702
C00055,P005,P035,2026-06-21T10:55:21,483
C00056,P005,P035,2026-06-11T02:38:28,24
C00057,P005,P035,2026-06-15T22:36:56,591
C00058,P005,P035,2026-06-04T02:40:02,565
C00059,P005,P022,2026-06-17T09:39:20,150
C00060,P005,P022,2026-06-30T12:42:25,85
C00061,P005,P022,2026-06-29T08:53:38,393
C00062,P005,P022,2026-06-10T05:44:36,463
C00063,P005,P018,2026-06-20T23:48:37,556
C00064,P005,P018,2026-06-01T20:11:32,321
C00065,P005,P018,2026-06-30T03:46:17,152
C00066,P005,P018,2026-06-09T04:12:09,124
C00067,P005,P018,2026-06-24T20:08:32,174
C00068,P005,P015,2026-06-10T22:01:16,230
C00069,P005,P015,2026-06-23T12:29:02,223
C00070,P005,P015,2026-06-22T23:05:30,888
C00071,P005,P015,2026-06-09T18:24:04,515
C00072,P005,P015,2026-06-09T01:50:58,109
C00073,P005,P039,2026-06-27T10:04:25,60
C00074,P005,P039,2026-06-01T12:08:39,804
C00075,P005,P039,2026-06-05T23:11:47,283
C00076,P005,P039,2026-06-06T16:05:12,579
C00077,P005,P039,2026-06-23T15:34:17,589
C00078,P005,P039,2026-06-01T04:04:23,92
C00079,P005,P039,2026-07-01T05:25:36,573
C00080,P005,P017,2026-06-27T13:26:33,611
C00081,P006,P011,2026-06-29T13:01:38,230
C00082,P006,P029,2026-06-22T03:44:33,377
C00083,P006,P029,2026-06-25T20:23:05,431
C00084,P006,P029,2026-06-20T05:37:37,257
C00085,P006,P029,2026-06-28T05:54:59,834
C00086,P006,P010,2026-06-29T15:00:40,40
C00087,P006,P010,2026-06-06T12:05:40,816
C00088,P006,P010,2026-06-30T14:59:24,836
C00089,P006,P003,2026-06-09T05:47:46,821
C00090,P006,P003,2026-06-23T03:56:08,406
C00091,P006,P003,2026-06-28T01:24:35,894
C00092,P006,P003,2026-06-16T08:05:54,219
C00093,P006,P021,2026-06-12T11:06:41,855
C00094,P006,P021,2026-06-26T08:17:11,243
C00095,P006,P021,2026-06-01T07:01:53,423
C00096,P006,P021,2026-06-11T10:08:37,900
C00097,P006,P021,2026-06-03T10:09:45,374
C00098,P006,P021,2026-06-21T18:32:48,424
C00099,P006,P021,2026-06-22T19:31:22,354
C00100,P006,P021,2026-07-01T01:00:17,133
C00101,P006,P025,2026-06-06T21:08:19,286
C00102,P006,P025,2026-06-02T03:56:48,625
C00103,P006,P025,2026-06-14T12:35:09,761
C00104,P006,P025,2026-06-26T11:25:14,461
C00105,P006,P025,2026-06-20T18:37:13,133
C00106,P007,P038,2026-06-17T19:36:15,718
C00107,P007,P014,2026-06-12T15:42:11,86
C00108,P007,P014,2026-07-01T12:01:19,653
C00109,P007,P014,2026-06-11T04:32:14,752
C00110,P007,P014,2026-06-29T10:56:03,534
C00111,P007,P018,2026-06-22T14:52:08,349
C00112,P007,P018,2026-06-13T10:45:52,582
C00113,P007,P018,2026-06-05T06:59:04,445
C00114,P007,P018,2026-06-22T13:48:15,708
C00115,P007,P018,2026-06-24T06:20:10,645
C00116,P007,P003,2026-06-13T19:56:59,868
C00117,P007,P003,2026-06-01T11:03:49,308
C00118,P007,P003,2026-06-07T15:39:06,819
C00119,P007,P003,2026-06-19T22:05:16,685
C00120,P007,P003,2026-06-11T16:55:46,467
C00121,P007,P029,2026-06-22T07:46:50,538
C00122,P007,P029,2026-06-16T06:10:41,689
C00123,P007,P029,2026-06-03T10:19:56,542
C00124,P007,P029,2026-06-22T23:02:40,649
C00125,P007,P029,2026-06-11T03:24:00,853
C00126,P007,P029,2026-07-01T08:33:04,703
C00127,P007,P029,2026-06-10T08:10:44,840
C00128,P007,P029,2026-06-07T05:21:53,40
C00129,P008,P017,2026-06-15T15:05:21,659
C00130,P008,P017,2026-06-19T07:04:45,750
C00131,P008,P032,2026-06-16T14:33:03,264
C00132,P008,P032,2026-06-05T23:53:10,719
